ID,Title,Content,"Short Description",Date,"Post Type",Permalink,"Parent Product ID",Sku,Price,"Regular Price","Sale Price","Stock Status",Stock,"Product Brand","Product Brands","Product Model","Product Qty","Image URL","Image Alt Text","Attachment URL","Product Type",Tags,"Product categories","Product tags",_total_stock_quantity,wc_ps_subtitle,"Author Username","Author First Name","Author Last Name",Weight,Length,Width,Height,Up-Sells,Cross-Sells,"Tax Status"
21094,Dubai,"<p style=""text-align: left;"">دخون أماراتي 100 غرام صناعة منزلية</p>
<p style=""text-align: left;"">Product Code: 1003HS50</p>",Dkhoon,2018-12-10,product,https://loozaa.com/product/dubai/,0,0,110,220,110,instock,10,,,,,https://loozaa.com/wp-content/uploads/2018/12/Abu-dhabi.jpg,,,simple,visible,"Dokhoon دخون>Arabic scents        عطورات عربية|Uncategorized>HomeDokhoonSection","#dkhoon #dokhoon",999,"دخون دبي",heralds.llc,,,,,,,0||0|0|0|0|0|0|0,,taxable
21099,Fujairah,"<p style=""text-align: left;"">دخون أماراتي 100 غرام صناعة منزلية
Product Code: 1008HS45</p>",Dkhoon,2018-12-10,product,https://loozaa.com/product/fujairah/,0,,99,220,99,instock,10,,,,,https://loozaa.com/wp-content/uploads/2018/12/Abu-dhabi.jpg,,,simple,visible,"Dokhoon دخون>Arabic scents        عطورات عربية|Uncategorized>HomeDokhoonSection","#dkhoon #dokhoon",999,"دخون الفجيرة",heralds.llc,,,,,,,0|0|0|0|0|0|0|0,,taxable
21104,Rak,"<p style=""text-align: left;"">دخون أماراتي 100 غرام صناعة منزلية</p>
<p style=""text-align: left;"">Product Code: 1004HS50</p>",Dkhoon,2018-12-10,product,https://loozaa.com/product/rak/,0,0,99,220,99,instock,10,,,,,https://loozaa.com/wp-content/uploads/2018/12/Abu-dhabi.jpg,,,simple,visible,"Dokhoon دخون>Arabic scents        عطورات عربية|Uncategorized>HomeDokhoonSection","#dkhoon #dokhoon",999,"دخون راس الخيمة",heralds.llc,,,,,,,0|0|0|0|0|0|0|0,,taxable
21109,Sharjah,"<p style=""text-align: left;"">دخون أماراتي 100 غرام صناعة منزلية</p>
<p style=""text-align: left;"">Product Code: 1006HS45</p>",Dkhoon,2018-12-10,product,https://loozaa.com/product/sharjah/,0,0,88,220,88,instock,10,,,,,https://loozaa.com/wp-content/uploads/2018/12/Abu-dhabi.jpg,,,simple,visible,"Dokhoon دخون>Arabic scents        عطورات عربية|Uncategorized>HomeDokhoonSection","#dkhoon #dokhoon",999,"دخون الشارقة",heralds.llc,,,,,,,0|0|0|0|0|0|0|0,,taxable
21113,"The Old Days","<p style=""text-align: left;"">دخون أماراتي 100 غرام صناعة منزلية</p>
<p style=""text-align: left;"">Product Code: 1001HS30</p>",Dkhoon,2018-12-10,product,https://loozaa.com/product/the-old-days/,0,0,66,220,66,instock,10,,,,,https://loozaa.com/wp-content/uploads/2018/12/Abu-dhabi.jpg,,,simple,visible,"Dokhoon دخون>Arabic scents        عطورات عربية|Uncategorized>HomeDokhoonSection","#dkhoon #dokhoon",999,"دخون الايام القديمة",heralds.llc,,,,,,,0|0|0|0|0|0|0|0,,taxable
21116,UAE,"<p style=""text-align: left;"">دخون أماراتي 100 غرام صناعة منزلية</p>
<p style=""text-align: left;"">Product Code: 1002HS45</p>
<p style=""text-align: left;""></p>",Dkhoon,2018-12-10,product,https://loozaa.com/product/uae/,0,0,88,220,88,instock,10,,,,,https://loozaa.com/wp-content/uploads/2018/12/Abu-dhabi.jpg,,,simple,visible,"Dokhoon دخون>Arabic scents        عطورات عربية|Uncategorized>HomeDokhoonSection","#dkhoon #dokhoon",999,"دخون الامارات",heralds.llc,,,,,,,0|0|0|0,,taxable
21117,"Komash Mutaraz","<p style=""text-align: left;"">Komash Mutaraz
قماش مطرز</p>
<p style=""text-align: left;"">All textile prices above are on sale per (1) meter or per meter(s).
Note: Select the appropriate meter quantity for the dress needs in order to receive the correct fitting.
السعر أعلاه للمتر الواحد، إختاروا عدد الأمتار المناسبة لكم حسب نوع الفستان لكي يصلكم المقاس الصحيح.</p>","<p style=""text-align: left;"">Komash Mutaraz
قماش مطرز</p>
<p style=""text-align: left;"">All textile prices above are on sale per (1) meter or per meter(s).
Note: Select the appropriate meter quantity for the dress needs in order to receive the correct fitting.
السعر أعلاه للمتر الواحد، إختاروا عدد الأمتار المناسبة لكم حسب نوع الفستان لكي يصلكم المقاس الصحيح.</p>",2018-12-10,product,https://loozaa.com/product/textile-10/,0,,450,600,450,instock,25,,,,,https://loozaa.com/wp-content/uploads/2018/12/2Q4A1120-1.jpg|https://loozaa.com/wp-content/uploads/2018/12/2Q4vbvb.jpg|https://loozaa.com/wp-content/uploads/2018/12/2Q4A1121-1.jpg,||,,simple,visible,"Ladies wear سيدتي الجميلة>Textiles                         أقمشة",#textile,1,"قماش مطرز",AlPrincesa,AL,,,,,,|||||||25||,,taxable
21122,Fatima,"<p style=""text-align: left;"">دخون بدهن عود خاص صناعة منزلية 100 غرام</p>
<p style=""text-align: left;"">Product Code: 2001HS50</p>",Dkhoon,2018-12-10,product,https://loozaa.com/product/fatima/,0,0,440,880,440,instock,10,,,,,https://loozaa.com/wp-content/uploads/2018/12/Abu-dhabi.jpg,,,simple,visible,"Dokhoon دخون>Arabic scents        عطورات عربية|Uncategorized>HomeDokhoonSection","#dkhoon #dokhoon",999,"دخون فاطمة",heralds.llc,,,,,,,0|0|0|0|0|0|0|0,,taxable
21128,Jawahar,"<p style=""text-align: left;"">دخون بدهن عود خاص صناعة منزلية 100 غرام</p>
<p style=""text-align: left;"">Product Code: 2002HS50</p>",Dkhoon,2018-12-10,product,https://loozaa.com/product/jawahar/,0,0,440,880,440,instock,10,,,,,https://loozaa.com/wp-content/uploads/2018/12/Abu-dhabi.jpg,,,simple,visible,"Dokhoon دخون>Arabic scents        عطورات عربية|Uncategorized>HomeDokhoonSection","#dkhoon #dokhoon",999,"دخون جواهر",heralds.llc,,,,,,,0|0||0|0|0|0|0,,taxable
21131,"The Union","<p style=""text-align: left;"">دخون أماراتي 100 غرام صناعة منزلية</p>
<p style=""text-align: left;"">Product Code: 1011HS45</p>",Dkhoon,2018-12-10,product,https://loozaa.com/product/the-union/,0,0,132,220,132,instock,10,,,,,https://loozaa.com/wp-content/uploads/2018/12/Abu-dhabi.jpg,,,simple,visible,"Dokhoon دخون>Arabic scents        عطورات عربية|Uncategorized>HomeDokhoonSection","#dkhoon #dokhoon",999,"دخون الاتحاد",heralds.llc,,,,,,,0|0|0|0|0|0|0|0,,taxable
