ID,Title,Content,"Short Description",Date,"Post Type",Permalink,"Parent Product ID",Sku,Price,"Regular Price","Sale Price","Stock Status",Stock,"Product Brand","Product Brands","Product Model","Product Qty","Image URL","Image Alt Text","Attachment URL","Product Type",Tags,"Product categories","Product tags",_total_stock_quantity,wc_ps_subtitle,"Author Username","Author First Name","Author Last Name",Weight,Length,Width,Height,Up-Sells,Cross-Sells,"Tax Status"
6329,"Signature Onyx, 100 ml","<p style=""direction: rtl; text-align: right;""><strong>عطر سجنجر اونيكس</strong></p>
<p style=""direction: rtl; text-align: right;"">الحمضيات - الأزهار</p>
<p style=""direction: rtl; text-align: right;"">مع بريقها الأسود ، تم التقاط أونيكس خيال البشر لقرون. تقول الأسطورة أنها تمثل حجرًا ""مؤسسًا"" لأولئك الذين يتسمون بطابع هائل بطبيعتهم وقوتهم - مما يمنح المتاجر لأولئك الذين يطمحون للوصول إلى مستوى عالٍ.</p>
<p style=""direction: rtl; text-align: right;"">ويعكس التوقيع التأثير الناشط للأونكس من خلال استكشافه المذهل لمركبات العطريات المزهرة - الحمضيات ، مزج أوراق الحمضيات مع جوانب من كاسي ، والتفاح والأناناس. إنه قلب خشبي حار يتبعه قاعدة مليئة بالمواد الخام النبيلة مثل العنبر ، الفانيلا ، طحلب السنديان والمسك لخلق عطر ينشط ويعزز.</p>
<p style=""direction: rtl; text-align: right;"">عطر لأولئك الذين يتطلعون إلى أن يصبحوا أساتذة لمستقبلهم.</p>
<p style=""text-align: left;""><strong>Signature Onyx</strong></p>
<p style=""text-align: left;"">Citrus – Floral</p>
<p style=""text-align: left;"">With its black lustre, Onyx has been capturing the imagination of humans for centuries. Legend has it that it is a “grounding” stone for those, who are flighty by nature and a strength – giving store for those, who aspire to reach high.</p>
<p style=""text-align: left;"">Signature mirrors the invigorating effect of the Onyx through its intoxicating exploration of Citrus-floral aromatics, blending citrus notes with facets of cassis, apple and pineapple. It’s spicy woody heart is followed by a base full of noble raw materials such as amber, vanilla, oak moss and musk to create a fragrance that energizes and empowers.</p>
<p style=""text-align: left;"">A fragrance for those who aspire to become the masters of their own future.</p>
<p style=""text-align: left;"">Barcodes: 3770001222967</p>",<strong>Onyx</strong>,2018-09-09,product,https://loozaa.com/product/signature-onyx/,0,,850,875,850,instock,1,,,,,https://loozaa.com/wp-content/uploads/2018/09/ONYX-2.jpg|https://loozaa.com/wp-content/uploads/2018/09/ONYX.jpg|https://loozaa.com/wp-content/uploads/2018/09/ONYX-1.jpg,||,,simple,visible,"Perfumes عطور>French Perfumes عطور فرنسية",#onyx|#signature,1,"عطر سجنجر اونيكس",Extravaganza,Extravaganza,Extravaganza,,,,,||||||||,,taxable
6338,"Signature Sapphire, 100 ml","<p style=""direction: rtl; text-align: right;""><strong>عطر سجنجر سفير</strong></p>
<p style=""direction: rtl; text-align: right;"">روح الامتياز يشع من الياقوت. لعدة قرون ، زينت الأحجار الكريمة الزرقاء الأردية والمجوهرات من الشخصيات البارزة في جميع أنحاء العالم بروعتها اللامعة.
إنهم يعيدوننا إلى الوراء ويخبروننا قصص النبالة والإخلاص والإخلاص والرومانسية.
مزيج من العطور النسائية والرجالية.
سجنجر سفير يلتقط الروح الملكي من الأحجار الكريمة الزرقاء المذهلة. تجمع هذه التركيبة الشجاعة والاستفزازية أفضل المكونات المنتقاة يدوياً من أجل الرقي الملكي ، والكرامة ، والسلطة: فلفل وردي ، وزيت تبلد كلاري ، وجوهر العرعر ، وخضراء مطلقة خضراء ، وكلها خشن ، وخرسانة قزحية ، وفول تونكا ، وزيت البتولا. يمنح هذا العنبر والجلد مظهراً رائعاً ويكوّن درباً إلهياً وقوياً. عطر شجاع لوجود الاتزان والرقي.</p>
&nbsp;
<p style=""text-align: left;""><strong>Signature Sapphire</strong></p>
<p style=""text-align: left;"">MagneVtic</p>
<p style=""text-align: left;"">The spirit of royalty radiates from Sapphires. For centuries, the blue gemstones have adorned the robes and jewelry of dignitaries across the world with their glistening splendor.</p>
<p style=""text-align: left;"">They bring us back in time and tell us stories of nobility, sincerity, faithfulness and romance.</p>
<p style=""text-align: left;"">A mix of feminine and masculine fragrances.</p>
<p style=""text-align: left;"">Signature – Sapphire captures the royal spirit of the stunning blue gemstone. This brave and provocative composition brings together the finest hand selected ingredients to celebrated royal sophistication, dignity, and power: pink pepper, oil of clary sag, juniper essence, green mate absolute, all of flouve, iris concrete, Tonka bean, and oil of birch. It’s amber and leather accords magnify the fragrance and form a divine and powerful trail. A brave fragrance for a presence of poise and sophistication.</p>
<p style=""text-align: left;"">Barcodes: 3760243200083</p>",<strong>Sapphire</strong>,2018-09-09,product,https://loozaa.com/product/signature-sapphire/,0,,850,875,850,instock,1,,,,,https://loozaa.com/wp-content/uploads/2018/09/SAPPHIRE.jpg,,,simple,visible,"Perfumes عطور>French Perfumes عطور فرنسية","#signature #sapphire",1,"عطر سجنجر سفير",Extravaganza,Extravaganza,Extravaganza,,,,,||||||||,,taxable
6340,"Signature  Jade, 100 ml","<p style=""text-align: right;""><strong>عطر سجنجر جيد</strong></p>
<p style=""direction: rtl; text-align: right;"">العنبر - الفاكهة.</p>
<p style=""direction: rtl; text-align: right;"">استلهم سجنجر جيد من الغموض المثير للغموض في القطع الفنية القديمة ، المنحوتة من اليشم. هذه الإبداعات الأحجار الكريمة الخضراء تدهشنا مع التماثل غير مسبوقة والتعقيد من كل التفاصيل. يأخذوننا إلى عالم من الوئام والكمال ، الغموض والأسطورة ، البذخ والروعة والحكمة والتوازن.</p>
<p style=""direction: rtl; text-align: right;"">يعكس التصميم ثراء الحرفية الآسيوية والهدوء الذي يشع به اليشم من خلال الجمع التام بين نضارة البرغموت والليمون والبرتقال مع ثمار البحر الأبيض المتوسط والعنبر الدافئ والفانيليا والمسك. يبدأ الحلو وقوية ، مع رائحة الحمضيات المهيمنة. ولكن بعد ذلك ، تنحسر الحمضيات ، مما يعطي مساحة أكبر لشهوانية العنبر والفواكه.</p>
<p style=""direction: rtl; text-align: right;"">إن كلا من إبداعات اليشم وشهوات سجنجر كلاهما يجتذبان بشكل غامض ويلتقطان الخيال ويعدان بعالم من الكمال.</p>
<p style=""text-align: left;""><strong>Signature Jade</strong></p>
<p style=""text-align: left;"">Amber – Fruit.</p>
<p style=""text-align: left;"">Signature – Jade was inspired by the mystifying flawlessness of ancient art pieces, carved from Jade. These green gemstone creations amaze us with their unsurpassed symmetry and intricacy of every detail. They take us to a world of harmony and perfection, mystery and legend, opulence and magnificence, wisdom and balance.</p>
<p style=""text-align: left;"">Signature mirrors the richness of Asian craftsmanship and the serenity radiated by Jade by perfectly combining the citrus freshness of bergamot, lemon and orange with Mediterranean fruits and warm amber, vanilla and musk. It starts sweet and strong, with the dominating fragrance of citrus. But then, the citrus subsides, giving more room to the sensuality of amber and fruits.</p>
<p style=""text-align: left;"">The flawlessness of Jade creations and the sensuality of Signature are both mysteriously inviting, capturing the imagination, promising a world of perfection.</p>
<p style=""text-align: left;"">Barcodes: 3770001222882</p>","<strong> Jade</strong>",2018-09-09,product,https://loozaa.com/product/signature-jade/,0,,850,875,850,instock,1,,,,,https://loozaa.com/wp-content/uploads/2018/09/JADE.jpg,,,simple,visible,"Perfumes عطور>French Perfumes عطور فرنسية","#Signature #Jade",1,"عطر سجنجر جيد",Extravaganza,Extravaganza,Extravaganza,,,,,||||||||,,taxable
6342,"Signature Garnet, 100 ml","<p style=""direction: rtl; text-align: right;""><strong>عطر سجنجر جارنيه</strong></p>
<p style=""direction: rtl; text-align: right;"">وقد عرف العقيق على نطاق واسع منذ آلاف السنين. وغالبًا ما يرتبط هذا الكوكب بكوكب المريخ ، الذي يمثل البقاء والرغبة والعمل والحركة. كثير من يطلق عليه ""الحجر المحارب"" ، كما ارتدى جنود من مختلف أنحاء العالم هذه الجوهرة كتعويذة ضد الإصابة. ولكن يقال أيضًا إنه يجلب الحب الملهم والالتزام والرضا للقلب.</p>
<p style=""direction: rtl; text-align: right;"">ومن المعروف على نطاق واسع لصلابة لها ، ولكن آسر لنعومة من لمعانها الدافئ.</p>
<p style=""direction: rtl; text-align: right;"">تماما مثل غارنر يجمع بين قوة الطموح مع ليونة المودة. التوقيع - غارنر و النعومة المطلقة. يمزج هذا العطر مع الروائح الوردية الحريرية الرقيقة مع رائحة العطر القوية والرائحة لخلق رائحة قوية بشكل مذهل ورائعة حقا. رائحة الإرادة القوية والعاطفة.</p>
<p style=""text-align: left;""><strong>Signature Garnet</strong></p>
<p style=""text-align: left;"">Oud – Floral.</p>
<p style=""text-align: left;"">The Garnet has been widely known for thousands of years. It is often associated with the planet Mars, which represents survival, desire, action and energy. Many call it “the warrior stone”, as soldiers from different parts of the world wore this gem as a talisman against injury. But it is also said to bring inspiring love, commitment, and contentment of the heart.</p>
<p style=""text-align: left;"">It is widely known for its hardness, yet captivating for the softness of its warm shine.</p>
<p style=""text-align: left;"">Just like the Garner combines power of ambition with the softness of affection. Signature – Garner and delicateness. It blends gentle and silky rose fragrances with the intense and raw aroma of oud to create a scent that is amazingly powerful and truly exceptional. A scent for the strong-willed and the passionate.</p>
<p style=""text-align: left;"">Barcodes: 3770001222998</p>",<strong>Garnet</strong>,2018-09-09,product,https://loozaa.com/product/signature-garnet/,0,,850,875,850,instock,1,,,,,https://loozaa.com/wp-content/uploads/2018/09/GARNET.jpg,,,simple,visible,"Perfumes عطور>French Perfumes عطور فرنسية","#Signature #Garnet",1,"عطر سجنجر جارنيه",Extravaganza,Extravaganza,Extravaganza,,,,,||||||||,,taxable
6344,"Signature Opal, 100 ml","<p style=""direction: rtl; text-align: right;""><strong>عطر سجنجر اوبال</strong></p>
<p style=""direction: rtl; text-align: right;"">الأزهار - مسحوق</p>
<p style=""direction: rtl; text-align: right;"">تقف أوبال في فئة من تلقاء نفسها. أكثر من أي جوهرة أخرى ، كل عقيق هو فرد بشكل واضح ، مع أنماط واسعة مثل الخيال البشري. ليس من المستغرب أن تعرف أوبال بأنها حجر الإلهام ، وتعزيز الإبداع والخيال.</p>
<p style=""direction: rtl; text-align: right;"">نفس ثراء الاختلافات والوداعة والأصالة موجود في سجنجر اوبال. إنه عطر ناعم ولطيف ومغلف بالمكونات الحلوة والبيضاء من الياسمين والورد والأيلنغ على قاعدة من المسك وفاصوليا التونكا والهليوتروب تأخذنا إلى إبليس-بيل. إلى عالم من الفن والإلهام والرومانسية والعواطف. إلى عالم حيث الأوبال يغذي التلقائية والإلهام هو ما يهم.</p>
<p style=""text-align: left;""><strong>Signature Opal</strong></p>
<p style=""text-align: left;"">Floral – Powder</p>
<p style=""text-align: left;"">Opal stand in a class by themselves. More than any other gem, each opal is distinctly an individual, with patterns as broad as the human imagination. Not surprisingly, Opal is known as a stone of inspiration, enhancing one’s creativity and imagination.</p>
<p style=""text-align: left;"">The same richness of variations, gentleness and originality is found in Signature – Opal. It’s soft, gentle, enveloping fragrance with sweet and powdery notes of jasmine, rose, ylang-ylang on a base of musk, Tonka beans and heliotrope takes us to the belle-epoque. To a world of art and inspiration, romance and emotions. To a world where Opal fuels spontaneity and inspiration is what matters.</p>
<p style=""text-align: left;"">Barcodes: 3770001222875</p>",<strong>Opal</strong>,2018-09-09,product,https://loozaa.com/product/signature-opal/,0,,850,875,850,instock,1,,,,,https://loozaa.com/wp-content/uploads/2018/09/OPAL.jpg,,,simple,visible,"Perfumes عطور>French Perfumes عطور فرنسية","#Signature #Opal",1,"عطر سجنجر اوبال",Extravaganza,Extravaganza,Extravaganza,,,,,||||||||,,taxable
6346,"Signature Agathe, 100 ml","<p style=""direction: rtl; text-align: right;""><strong>عطر سجنجر اجيث</strong></p>
<p style=""direction: rtl; text-align: right;"">الفانيلا - الفاكهة</p>
<p style=""direction: rtl; text-align: right;"">لا توجد أحجار كريمة ملونة بشكل أكثر إبداعًا ومخططة بطبيعتها أكثر من الأحجار الكريمة. يتشكل من المعادن يملأ تجويفًا في صخر مضيف. عند الانقسام المفتوح ، تكشف عقيدات العقيق عن مجموعة مذهلة من الألوان والأنماط.</p>
<p style=""direction: rtl; text-align: right;"">تأخذ العصابات الرائعة في العقيق جميع أنواع الأشكال والأشكال - مثل العيون والأسقلوب الخيالي أو المتاهات والأوراق أو حتى المناظر الطبيعية. لا أحد يعرف ما يجب توقعه قبل فتح العقدة. ومع ذلك ، فإن كل الأحجار الكريمة تدهشنا بأناقتها وبراعتها.</p>
<p style=""direction: rtl; text-align: right;"">سجنجر اجيث هو مفاجئ وممتع كالحجر نفسه. ينفتح مع انسجام من الزهور والحمضيات وقطرة من الفانيليا ويخلق لقاءات مثل أنوثة ثوب المساء. صقلها وحساسيتها الأنثوية منتشرة ومسببة للإدمان.</p>
<p style=""text-align: left;""><strong>Signature Agathe</strong></p>
<p style=""text-align: left;"">Vanilla – Fruit</p>
<p style=""text-align: left;"">No gems one is more creatively colored and striped by nature than the Agato. It forms by minerals filling a cavity in a host rock. When split open, Agate nodules reveal an amazing variety of colors and patterns.</p>
<p style=""text-align: left;"">The unbelievable bands in Agates take all kinds of shapes and forms – like eyes, fanciful scallops, mazes, leaves or even landscapes. One never knows what to expect, before the nodule is opened. Yet, each and every gemstone amaze us with its elegance and finesse.</p>
<p style=""text-align: left;"">Signature – Agathe is a surprising and gratifying as the stone itself. It opens up with a harmony of flowers, citrus and a drop of vanilla and creates an encounter as feminine as the trail of an evening gown. Its refinement and feminine sensitivity are pervasive and addictive.</p>
<p style=""text-align: left;"">Barcodes: 3770001222981</p>","<strong> Agathe</strong>",2018-09-09,product,https://loozaa.com/product/signature-agathe/,0,,850,875,850,instock,1,,,,,https://loozaa.com/wp-content/uploads/2018/09/AGATHE.jpg,,,simple,visible,"Perfumes عطور>French Perfumes عطور فرنسية","#Signature #Agathe",1,"عطر سجنجر اجيث",Extravaganza,Extravaganza,Extravaganza,,,,,||||||||,,taxable
6351,"Signature Emerald, 100 ml","<p style=""direction: rtl; text-align: right;""><strong>عطر سجنجر ايميرالد</strong></p>
<p style=""direction: rtl; text-align: right;"">الليمون ، ياسمين والعود
مع لمعانه الاستثنائي و صلابة غير مسبوقة ، نقدم الزمرد. حجر كريم داخل صندوق ساتان أسود مرموق هو مثال المفاجأة الحسية.
مزيج ملكي من قمم الحمضيات والأوراق الخضراء مع مزيج متناغم من الورود والهيل والياسمين الهندي والباتشولي والعنبر.
الزمرد هو عطر مبني على الولاء والوئام والصداقة والثقة ، والصفات المضمنة في هذه الأحجار الكريمة الثمينة.
لطالما كان الزمرد رمزا للأمل. يعتبره الكثيرون حجر النبوة. بالنسبة لبعض الزمرد بمثابة مهدئ للعقل المضطرب. ويقال إن الزمرد لجلب سبب وحكمة مرتديها.</p>
<p style=""text-align: left;""><strong>Signature Emerald</strong></p>
<p style=""text-align: left;"">Lemon, Jasmin and Oud</p>
<p style=""text-align: left;"">With its exceptional luster and unsurpassed hardness, we present Emerald. A precious stone inside a prestigious black satin box lies the epitome of sensory surprise.</p>
<p style=""text-align: left;"">A regal fusion of citrus highs and green accord melded with harmonious hints of rose, cardamom, Indian jasmine, our, patchouli and amber.</p>
<p style=""text-align: left;"">Emerald is a fragrance founded on loyalty, harmony, friendship and trust, the qualities embedded in this precious gemstone.</p>
<p style=""text-align: left;"">Emerald has long been the symbol of hope. It is considered by many to be the stone of prophecy. For some the emerald acts as a tranquilizer for a troubled mind. The emerald is said to bring the wearer reason and wisdom.</p>
<p style=""text-align: left;"">Barcodes: 3760243200335</p>
&nbsp;",<strong>Emerald</strong>,2018-09-09,product,https://loozaa.com/product/signature-emerald/,0,,850,875,850,instock,1,,,,,https://loozaa.com/wp-content/uploads/2018/09/EMERALD.jpg,,,simple,visible,"Perfumes عطور>French Perfumes عطور فرنسية","#Signature #Emerald",1,"عطر سجنجر ايميرالد",Extravaganza,Extravaganza,Extravaganza,,,,,||||||||,,taxable
6356,"Signature Diamond, 100 ml","<p style=""direction: rtl; text-align: right;""><strong>عطر سجنجر دياموند</strong></p>
<p style=""direction: rtl; text-align: right;"">شرقي</p>
<p style=""direction: rtl; text-align: right;"">مع لمعانها الاستثنائي و صلتها غير المسبوقة ، الماس من الأحجار الكريمة الأكثر قيمة في العالم. أطلق عليها اليونانيون القدماء ""أداماس"" ، أي ""لا يقهر"" ، في حين أن وضوح الماس هو رمز للحب والوعد والأمانة.</p>
<p style=""direction: rtl; text-align: right;"">يمكن لشخصية الألماس الرائعة والبريق الاستثنائي والطهارة أن تغري أي شخص.</p>
<p style=""direction: rtl; text-align: right;"">على نحو مشابه ، يغوي سجنجر دياموند برقائق البخور الشرق أوسطية الكلاسيكية التي تتصدر قلب العود الغامض. حلاوة وعميقة من العنبر مثل نسيم على الرغم من الكثبان الرملية في الصحراء العربية ، في حين يترك الملاحظات الناعمة المسكينة المتبقية ذاكرة نهائية للإغواء والحب الحلو.</p>
<p style=""text-align: left;""><strong>Signature Diamond</strong></p>
<p style=""text-align: left;"">Oriental</p>
<p style=""text-align: left;"">With its exceptional lustre and unsurpassed hardness, diamond of the most prized gemstones in the world. The ancient Greeks named it “adamas”, meaning ‘invincible’, while the clarity of the diamond is symbolic of love, promise and honesty.</p>
<p style=""text-align: left;"">A diamond’s dazzling personality, exceptional lustre, and purity can seduce anyone.</p>
<p style=""text-align: left;"">Similarly, Signature seduces with classic Middle-Eastern incense notes topping a heart of mysterious oud. The sweetness and depth of amber wafts like a breeze though the dunes of the Arabian desert, while the lingering soft musky base notes leave a final memory of a sweet seduction and love.</p>
<p style=""text-align: left;"">Barcodes: 3770001222974</p>
<p style=""text-align: left;""></p>",<strong>Diamond</strong>,2018-09-09,product,https://loozaa.com/product/signature-diamond/,0,,850,875,850,instock,1,,,,,https://loozaa.com/wp-content/uploads/2018/09/DIAMOND.jpg,,,simple,visible,"Perfumes عطور>French Perfumes عطور فرنسية","#Signature #Diamond",1,"عطر سجنجر دياموند",Extravaganza,Extravaganza,Extravaganza,,,,,||||||||,,taxable
6358,"Signature Amber, 100 ml","<p style=""direction: rtl; text-align: right;""><strong>عطر سيجنجر آمبر</strong></p>
<p style=""direction: rtl; text-align: right;"">أنيق ، طازج</p>
<p style=""direction: rtl; text-align: right;"">ينتقل سيجنجر آمبر إلى الأناقة الفاخرة للأقمشة الحصرية في تجربة العطر الحسية. كان لبس أمبر لفترة طويلة من سلطة الأرستقراطية. تم تصميم هذا الكمّية مع الدفء النبيل من العنبر.</p>
<p style=""direction: rtl; text-align: right;"">تندمج ملاحظات البلسم اللطيفة وقاعدة الفانيليا الكريمية في باقة فخمة ساحرة.</p>
<p style=""text-align: left;""><strong>Signature, Amber.</strong></p>
<p style=""text-align: left;"">Classy, Fresh</p>
<p style=""text-align: left;"">Signature Ambre transposes the luxurious feel of exclusive fabrics into a sensual fragrance experience. The wearing of Ambre was for a long time prerogative of the aristocracy. Signature Ambre fuse this preciousness with the noble warmth of ambergris.</p>
<p style=""text-align: left;"">Gentle balsam notes and a creamy vanilla base merge into an extravagant, enthralling bouquet.</p>
<p style=""text-align: left;"">Barcodes: 3760243200236</p>
&nbsp;","<strong> Amber</strong>",2018-09-09,product,https://loozaa.com/product/signature-amber/,0,,850,875,850,instock,1,,,,,https://loozaa.com/wp-content/uploads/2018/09/AMBER.jpg,,,simple,visible,"Perfumes عطور>French Perfumes عطور فرنسية","#Signature #Amber",1,"عطر سيجنجر آمبر",Extravaganza,Extravaganza,Extravaganza,,,,,||||||||,,taxable
6363,"TK Tonic Blanc, 100 ml","<p style=""direction: rtl; text-align: right;""><strong>عطر توماس كوسمالا بلانك</strong></p>
<p style=""direction: rtl; text-align: right;"">طازجة وسهلة مثل صباح يوم الأحد ، يهيمن على هذه الرائحة المنزوعة أسفله زهر نرولي. يتعمق هذا العطر إلى جفاف الخشب ، مشيراً إلى مباهج بسيطة من التمدد في شوارع جنوب فرنسا عند غروب الشمس ، والكسوة بالكتان ، وراحة لا متناهية في بشرتك الخاصة.</p>
<p style=""direction: rtl;""></p>
<p style=""text-align: left;""><strong>Thomas Kosmala, Tonic Blanc</strong></p>
<p style=""text-align: left;"">Fresh and easy like a Sunday morning, this stripped-down scent is dominated by uplifting neroli. The fragrance deepens to a woody dryness, recalling the simple joys of ambling through the streets of the south of France at sunset, clad in linen, and infinitely comfortable in your own skin.</p>
<p style=""text-align: left;"">Barcodes: 5060412110204</p>","<strong>Tonic Blanc</strong>",2018-09-10,product,https://loozaa.com/product/tonic-blanc/,0,,690,720,690,instock,1,,,,,https://loozaa.com/wp-content/uploads/2018/09/NO-1-TONIC-BLANC.jpg,,,simple,visible,"Perfumes عطور>French Perfumes عطور فرنسية|Ladies wear سيدتي الجميلة>Perfumes                      عطور","#ThomasKosmala #Tonicblanc",1,"عطر توماس كوسمالا بلانك",Extravaganza,Extravaganza,Extravaganza,,,,,|||,,taxable
